PROVINCIA DEFUNCION;CANTON DEFUNCION;PARROQUIA DEFUNCION;1/1/2020;1/2/2020;1/3/2020;1/4/2020;1/5/2020;1/6/2020;1/7/2020;1/8/2020;1/9/2020
GALAPAGOS;ISABELA;PUERTO VILLAMIL;;;;1;;2;;;
GALAPAGOS;ISABELA;TOMAS DE BERLANGA;;;;1;;;;;
GALAPAGOS;SAN CRISTOBAL;PUERTO BAQUERIZO MORENO;4;3;;;;2;2;3;3
GALAPAGOS;SANTA CRUZ;BELLA VISTA;;;;;;1;;1;
GALAPAGOS;SANTA CRUZ;PUERTO AYORA;1;1;3;1;1;2;;2;1
MANABI;24 DE MAYO;ARQ. SIXTO DURAN BALLEN;;1;;3;4;;;1;1
MANABI;24 DE MAYO;BELLAVISTA;4;;1;1;1;1;2;;1
MANABI;24 DE MAYO;NOBOA;2;4;4;4;;1;;3;
MANABI;24 DE MAYO;SUCRE;5;6;6;14;9;5;10;7;4
MANABI;BOLIVAR;CALCETA;18;12;16;16;19;17;25;18;5
MANABI;BOLIVAR;MEMBRILLO;1;3;;;;1;;1;1
MANABI;BOLIVAR;QUIROGA;2;1;1;3;2;2;3;2;2
MANABI;CHONE;BOYACA;;1;;3;1;3;2;3;
MANABI;CHONE;CANUTO;3;5;3;2;5;5;1;3;1
MANABI;CHONE;CHIBUNGA;;;;1;;;3;1;
MANABI;CHONE;CHONE;28;15;37;63;76;60;52;55;22
MANABI;CHONE;CONVENTO;;1;;;2;2;1;2;1
MANABI;CHONE;ELOY ALFARO;;1;3;2;1;2;4;;
MANABI;CHONE;FLAVIO ALFARO*;;;;;;;;;1
MANABI;CHONE;RICAURTE;3;1;1;2;;1;4;4;1
MANABI;CHONE;SAN ANTONIO;3;5;2;2;7;1;5;3;1
MANABI;CHONE;SANTA RITA;9;6;6;5;6;9;5;4;4
MANABI;EL CARMEN;4 DE DICIEMBRE;1;1;1;1;;3;2;;
MANABI;EL CARMEN;EL CARMEN;23;27;24;32;19;25;42;38;23
MANABI;EL CARMEN;EL PARAISO LA 14;1;;1;6;2;1;3;2;1
MANABI;EL CARMEN;SAN PEDRO DE SUMA;2;;1;5;1;3;2;3;1
MANABI;EL CARMEN;SANTA MARIA;3;2;3;1;1;2;2;4;4
MANABI;EL CARMEN;WILFRIDO LOOR MOREIRA;;2;;;1;3;;;
MANABI;FLAVIO ALFARO;FLAVIO ALFARO;11;8;6;12;12;9;17;10;9
MANABI;FLAVIO ALFARO;SAN FRANCISCO DE NOVILLO;;;;1;1;3;1;;1
MANABI;FLAVIO ALFARO;ZAPALLO;2;;2;;1;2;2;2;
MANABI;JAMA;JAMA;4;2;2;4;6;2;6;3;7
MANABI;JARAMIJO;JARAMIJO;5;3;6;31;22;8;7;5;2
MANABI;JIPIJAPA;AMERICA;;1;1;3;2;2;3;1;1
MANABI;JIPIJAPA;DR. MIGUEL MORAN LUCIO;;;;10;7;2;1;4;2
MANABI;JIPIJAPA;EL ANEGADO;1;1;3;4;8;3;4;4;3
MANABI;JIPIJAPA;JIPIJAPA;22;12;25;110;26;9;10;11;16
MANABI;JIPIJAPA;JULCUY;;;;1;;;;1;1
MANABI;JIPIJAPA;LA UNION;;1;;2;3;1;1;1;
MANABI;JIPIJAPA;MANUEL INOCENCIO PARRALES Y GUALE;4;1;9;34;14;10;4;9;8
MANABI;JIPIJAPA;MEMBRILLAL;;;;;2;;3;2;1
MANABI;JIPIJAPA;PEDRO PABLO GOMEZ;1;1;1;1;3;3;2;2;
MANABI;JIPIJAPA;PUERTO DE CAYO;1;3;;2;6;1;3;5;
MANABI;JIPIJAPA;SAN LORENZO DE JIPIJAPA;1;;3;14;10;6;2;3;1
MANABI;JUNIN;JUNIN;9;5;8;7;6;5;7;2;6
MANABI;MANTA;ELOY ALFARO;11;3;15;31;21;6;10;6;6
MANABI;MANTA;LOS ESTEROS;6;5;8;28;19;12;12;14;11
MANABI;MANTA;MANTA;121;120;91;370;293;130;124;139;94
